Sr.,File Path,Class,Method,Line Number,Smell,Severity,Rule ID,Message,Effort
20,src/main/java/org/apache/bcel/classfile/Utility.java,JavaWriter,decode,649,Flag Argument,MAJOR,java:S2301,"Provide multiple methods instead of using ""uncompress"" to determine which action to take.",15min
21,src/main/java/org/apache/bcel/classfile/Utility.java,JavaWriter,encode,689,Flag Argument,MAJOR,java:S2301,"Provide multiple methods instead of using ""compress"" to determine which action to take.",15min
22,src/main/java/org/apache/bcel/generic/FieldGen.java,FieldGen,setInitValue,233,Flag Argument,MAJOR,java:S2301,"Provide multiple methods instead of using ""b"" to determine which action to take.",15min
23,src/main/java/org/apache/bcel/generic/Instruction.java,Instruction,toString,586,Flag Argument,MAJOR,java:S2301,"Provide multiple methods instead of using ""verbose"" to determine which action to take.",15min
24,src/main/java/org/apache/bcel/generic/InstructionFactory.java,MethodObject,createConstant,550,Conditional Complexity,MAJOR,custom-java:TypeChecking,This if/else-if chain tests the type of 'value' in 4 branches. Consider Replace Conditional with Polymorphism.,N/A
25,src/main/java/org/apache/bcel/generic/InstructionList.java,InstructionList,setPositions,1081,Flag Argument,MAJOR,java:S2301,"Provide multiple methods instead of using ""check"" to determine which action to take.",15min
26,src/main/java/org/apache/bcel/generic/InstructionList.java,InstructionList,N/A (class-level smell),50,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'observers' is null-checked in 3 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
27,src/main/java/org/apache/bcel/generic/InstructionHandle.java,InstructionHandle,N/A (class-level smell),41,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'attributes' is null-checked in 4 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
28,src/main/java/org/apache/bcel/generic/InstructionHandle.java,InstructionHandle,N/A (class-level smell),41,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'targeters' is null-checked in 4 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
29,src/main/java/org/apache/bcel/generic/ClassGen.java,ClassGen,N/A (class-level smell),47,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'observers' is null-checked in 3 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
30,src/main/java/org/apache/bcel/generic/FieldGen.java,FieldGen,N/A (class-level smell),43,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'observers' is null-checked in 3 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
31,src/main/java/org/apache/bcel/generic/MethodGen.java,MethodGen,N/A (class-level smell),63,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'il' is null-checked in 5 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
32,src/main/java/org/apache/bcel/generic/MethodGen.java,MethodGen,N/A (class-level smell),63,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'observers' is null-checked in 3 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
33,src/main/java/org/apache/bcel/generic/PUSH.java,PUSH,PUSH,144,Conditional Complexity,MAJOR,custom-java:TypeChecking,This if/else-if chain tests the type of 'value' in 3 branches. Consider Replace Conditional with Polymorphism.,N/A
